robot_id,concentration,timestep,effective_msg

28973,0.0000,0

28973,0.0000,1

28973,0.0000,1

28973,0.0000,2

28973,0.0000,3

28973,0.0000,4

28973,0.0000,4

28973,0.0000,5

28973,0.0000,9

28973,0.0000,9

18989,0.0000,10

18989,0.0000,11

18989,0.0000,12

18989,0.0000,18

18989,0.0000,25

28973,0.0000,28

28973,0.0000,28

28973,0.0000,29

28973,0.0000,29

18989,0.0000,33

18989,0.0000,34

28973,0.0000,35

28973,0.0000,35

18989,0.0000,36

28973,0.0000,36

28973,0.0000,37

28973,0.0000,38

28973,0.0000,39

28973,0.0000,39

28973,0.0000,40

28973,0.0000,40

18989,0.0000,41

28973,0.0000,48

28973,0.0000,48

28973,0.0000,52

28973,0.0000,52

18989,0.0000,55

28973,0.0000,58

28973,0.0000,58

18989,0.0000,69

28973,0.0000,69

28973,0.0000,70

18989,0.0000,70

18989,0.0000,73

18989,0.0000,77

28973,0.0000,79

28973,0.0000,81

28973,0.0000,81

18989,0.0000,82

18989,0.0000,84

28973,0.0000,88

28973,0.0000,88

18989,0.0000,89

18989,0.0000,90

18989,0.0000,94

18989,0.0000,95

18989,0.0000,96

18989,0.0000,97

18989,0.0000,113

18989,0.0000,124

18989,0.0000,127

18989,0.0000,132

18989,0.0000,137

28973,0.0000,158

28973,0.0000,158

28973,0.0000,162

28973,0.0000,162

28973,0.0000,167

28973,0.0000,168

28973,0.0000,168

28973,0.0000,174

28973,0.0000,174

28973,0.0000,184

28973,0.0000,184

28973,0.0000,185

28973,0.0000,185

28973,0.0000,189

28973,0.0000,191

28973,0.0000,195

28973,0.0000,195

28973,0.0000,196

28973,0.0000,197

28973,0.0000,208

28973,0.0000,208

28973,0.0000,211

28973,0.0000,211

28973,0.0000,213

28973,0.0000,218

28973,0.0000,218

28973,0.0000,223

28973,0.0000,223

28973,0.0000,224

28973,0.0000,224

28973,0.0000,225

28973,0.0000,225

28973,0.0000,238

28973,0.0000,238

28973,0.0000,239

28973,0.0000,239

28973,0.0000,240

28973,0.0000,240

28973,0.0000,243

28973,0.0000,243

28973,0.0000,247

28973,0.0000,248

28973,0.0000,250

28973,0.0000,250

28973,0.0000,251

28973,0.0000,251

28973,0.0000,254

28973,0.0000,254

28973,0.0000,255

28973,0.0000,255

28973,0.0000,262

28973,0.0000,262

28973,0.0000,267

28973,0.0000,268

28973,0.0000,275

28973,0.0000,275

28973,0.0000,279

28973,0.0000,280

28973,0.0000,282

